,firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,carrier,gender
0,name1,lastname1,November,26,1998,BS Legal Management,+63 918 302 6210,Smart,Female
1,name2,lastname2,May,26,2001,BS Management,+63 927 212 6276,Globe,Female
2,name3,lastname3,May,16,1997,BS Communications Technology Management,+63 918 253 7017,Smart,Female
3,name4,lastname4,December,9,1997,BS Information Technology Entrepreneurship,+63 918 714 4360,Smart,Male
4,name5,lastname5,September,5,1997,BS Communications Technology Management,+63 927 462 1674,Globe,Female
5,name6,lastname6,March,2,1999,BS Management,+63 918 629 5268,Smart,Female
6,name7,lastname7,November,10,1998,BS Legal Management,+63 917 369 7388,Globe,Female
7,name8,lastname8,August,28,1999,BS Management Engineering,+63 917 240 6000,Globe,Male
8,name9,lastname9,July,10,1997,BS Management Engineering,+63 918 226 5748,Smart,Male
9,name10,lastname10,September,14,2001,BS Communications Technology Management,+63 918 342 1717,Smart,Female
10,name11,lastname11,December,8,1998,BS Legal Management,+63 927 708 1308,Globe,Male
11,name12,lastname12,May,4,1997,BS Management Engineering,+63 927 747 5497,Globe,Male
12,name13,lastname13,January,28,1999,BS Communications Technology Management,+63 917 959 4490,Globe,Female
13,name14,lastname14,January,11,1999,BS Management,+63 927 543 4192,Globe,Female
14,name15,lastname15,June,6,1998,BS Information Technology Entrepreneurship,+63 917 211 9497,Globe,Male
15,name16,lastname16,April,20,1999,BS Legal Management,+63 918 185 5162,Smart,Male
16,name17,lastname17,January,3,1997,BS Information Technology Entrepreneurship,+63 927 146 8146,Globe,Female
17,name18,lastname18,April,8,1997,BS Management,+63 927 516 4280,Globe,Female
18,name19,lastname19,December,28,1997,BS Information Technology Entrepreneurship,+63 927 958 6909,Globe,Male
19,name20,lastname20,March,10,1997,BS Management Engineering,+63 917 514 9105,Globe,Male
20,name21,lastname21,July,13,1999,BS Legal Management,+63 927 984 7499,Globe,Female
21,name22,lastname22,September,15,1999,BS Information Technology Entrepreneurship,+63 927 699 3694,Globe,Male
22,name23,lastname23,April,15,1997,BS Management,+63 917 317 2478,Globe,Male
23,name24,lastname24,October,1,1997,BS Management Engineering,+63 917 159 3829,Globe,Male
24,name25,lastname25,May,6,1997,BS Management Engineering,+63 918 898 6972,Smart,Male
25,name26,lastname26,December,5,1999,BS Management Engineering,+63 917 796 4622,Globe,Male
26,name27,lastname27,March,4,1997,BS Communications Technology Management,+63 927 138 7580,Globe,Female
27,name28,lastname28,November,10,2000,BS Legal Management,+63 917 195 9244,Globe,Male
28,name29,lastname29,October,10,1999,BS Legal Management,+63 917 643 3996,Globe,Female
29,name30,lastname30,May,28,1999,BS Communications Technology Management,+63 917 758 3119,Globe,Male
30,name31,lastname31,April,6,1999,BS Information Technology Entrepreneurship,+63 918 669 4265,Smart,Male
31,name32,lastname32,July,16,1999,BS Management,+63 917 750 8539,Globe,Female
32,name33,lastname33,December,17,1999,BS Information Technology Entrepreneurship,+63 927 236 9504,Globe,Male
33,name34,lastname34,October,4,1999,BS Legal Management,+63 917 438 4447,Globe,Female
34,name35,lastname35,July,14,2001,BS Information Technology Entrepreneurship,+63 917 773 6035,Globe,Male
35,name36,lastname36,December,11,1998,BS Management,+63 918 455 4185,Smart,Male
36,name37,lastname37,February,2,2000,BS Management,+63 927 889 9252,Globe,Female
37,name38,lastname38,August,25,2001,BS Legal Management,+63 927 874 8083,Globe,Female
38,name39,lastname39,May,3,1997,BS Management Engineering,+63 927 842 3053,Globe,Male
39,name40,lastname40,February,27,1998,BS Legal Management,+63 927 923 1234,Globe,Male
40,name41,lastname41,November,16,1999,BS Management,+63 918 381 4956,Smart,Male
41,name42,lastname42,September,24,1998,BS Legal Management,+63 918 602 9278,Smart,Female
42,name43,lastname43,January,13,1999,BS Management,+63 918 532 6748,Smart,Female
43,name44,lastname44,February,25,1998,BS Information Technology Entrepreneurship,+63 917 654 1291,Globe,Male
44,name45,lastname45,January,27,1997,BS Management Engineering,+63 918 244 1683,Smart,Female
45,name46,lastname46,December,24,1998,BS Management Engineering,+63 917 818 1190,Globe,Female
46,name47,lastname47,August,23,1999,BS Management,+63 917 468 6425,Globe,Male
47,name48,lastname48,April,13,1999,BS Information Technology Entrepreneurship,+63 918 635 1688,Smart,Female
48,name49,lastname49,October,11,1997,BS Legal Management,+63 917 821 1896,Globe,Male
49,name50,lastname50,March,25,2001,BS Legal Management,+63 927 924 9506,Globe,Male
50,name51,lastname51,August,22,1998,BS Information Technology Entrepreneurship,+63 918 854 2626,Smart,Female
51,name52,lastname52,March,21,1999,BS Communications Technology Management,+63 918 438 9745,Smart,Female
52,name53,lastname53,December,15,2000,BS Management,+63 917 893 8235,Globe,Male
53,name54,lastname54,July,10,1998,BS Communications Technology Management,+63 918 216 5250,Smart,Female
54,name55,lastname55,May,8,1998,BS Management Engineering,+63 917 257 1057,Globe,Female
55,name56,lastname56,September,9,1998,BS Management Engineering,+63 927 949 5098,Globe,Male
56,name57,lastname57,May,9,2001,BS Communications Technology Management,+63 927 766 6306,Globe,Female
57,name58,lastname58,April,6,1997,BS Management Engineering,+63 918 851 8794,Smart,Female
58,name59,lastname59,April,24,1998,BS Information Technology Entrepreneurship,+63 917 901 2860,Globe,Male
59,name60,lastname60,August,26,1999,BS Information Technology Entrepreneurship,+63 918 681 5912,Smart,Male
60,name61,lastname61,September,8,1998,BS Communications Technology Management,+63 918 340 1320,Smart,Female
61,name62,lastname62,December,7,2000,BS Information Technology Entrepreneurship,+63 927 551 1326,Globe,Female
62,name63,lastname63,February,22,2000,BS Management Engineering,+63 918 975 4142,Smart,Male
63,name64,lastname64,November,13,1997,BS Information Technology Entrepreneurship,+63 917 466 1269,Globe,Female
64,name65,lastname65,March,23,1997,BS Management Engineering,+63 927 627 1302,Globe,Female
65,name66,lastname66,September,24,1997,BS Legal Management,+63 917 553 5101,Globe,Female
66,name67,lastname67,December,9,1997,BS Communications Technology Management,+63 917 442 5313,Globe,Male
67,name68,lastname68,November,4,2001,BS Management,+63 927 715 7133,Globe,Male
68,name69,lastname69,November,19,1998,BS Communications Technology Management,+63 917 448 4860,Globe,Male
69,name70,lastname70,May,12,1998,BS Legal Management,+63 917 255 1167,Globe,Female
70,name71,lastname71,August,19,1999,BS Communications Technology Management,+63 918 461 3486,Smart,Female
71,name72,lastname72,December,1,1999,BS Management,+63 927 347 7129,Globe,Male
72,name73,lastname73,June,21,1998,BS Management Engineering,+63 918 404 6593,Smart,Male
73,name74,lastname74,October,25,1997,BS Legal Management,+63 927 737 8051,Globe,Male
74,name75,lastname75,September,17,1998,BS Information Technology Entrepreneurship,+63 927 348 7430,Globe,Male
75,name76,lastname76,February,2,1997,BS Communications Technology Management,+63 927 188 4940,Globe,Female
76,name77,lastname77,May,19,2000,BS Communications Technology Management,+63 918 961 3285,Smart,Male
77,name78,lastname78,September,15,2000,BS Management,+63 918 510 5817,Smart,Female
78,name79,lastname79,December,23,2000,BS Legal Management,+63 927 668 6229,Globe,Male
79,name80,lastname80,August,10,1999,BS Communications Technology Management,+63 927 229 9686,Globe,Female
80,name81,lastname81,February,1,1997,BS Communications Technology Management,+63 918 873 6019,Smart,Male
81,name82,lastname82,November,22,1997,BS Communications Technology Management,+63 918 376 7811,Smart,Male
82,name83,lastname83,June,18,2000,BS Management Engineering,+63 927 118 4679,Globe,Female
83,name84,lastname84,February,28,1999,BS Information Technology Entrepreneurship,+63 917 236 2591,Globe,Female
84,name85,lastname85,January,10,1999,BS Legal Management,+63 927 128 1225,Globe,Female
85,name86,lastname86,November,21,1998,BS Management,+63 918 587 6655,Smart,Male
86,name87,lastname87,August,15,1998,BS Information Technology Entrepreneurship,+63 918 945 8163,Smart,Female
87,name88,lastname88,January,26,1997,BS Management Engineering,+63 917 908 6005,Globe,Male
88,name89,lastname89,March,26,1998,BS Information Technology Entrepreneurship,+63 917 367 9784,Globe,Female
89,name90,lastname90,March,15,1999,BS Information Technology Entrepreneurship,+63 918 501 6913,Smart,Male
90,name91,lastname91,August,16,1997,BS Information Technology Entrepreneurship,+63 918 823 1926,Smart,Female
91,name92,lastname92,December,8,1997,BS Management Engineering,+63 917 449 1492,Globe,Male
92,name93,lastname93,June,14,1998,BS Information Technology Entrepreneurship,+63 927 196 1085,Globe,Female
93,name94,lastname94,November,24,1997,BS Legal Management,+63 918 768 1582,Smart,Male
94,name95,lastname95,September,6,2001,BS Communications Technology Management,+63 927 111 9326,Globe,Female
95,name96,lastname96,March,16,1999,BS Communications Technology Management,+63 917 699 1883,Globe,Male
96,name97,lastname97,January,19,1997,BS Management,+63 918 149 1873,Smart,Female
97,name98,lastname98,January,10,1998,BS Information Technology Entrepreneurship,+63 927 615 1107,Globe,Male
98,name99,lastname99,May,12,1998,BS Communications Technology Management,+63 927 440 8773,Globe,Male
99,name100,lastname100,May,10,1999,BS Management,+63 927 787 2993,Globe,Female
100,name101,lastname101,April,2,1997,BS Communications Technology Management,+63 927 952 3919,Globe,Female
101,name102,lastname102,August,14,2001,BS Legal Management,+63 918 454 7163,Smart,Male
102,name103,lastname103,December,16,2000,BS Management Engineering,+63 927 148 8884,Globe,Male
